Region,Node Name,Uplink,Trunk,OM,SIP,HSI,IPOE,H248,RTP,AG1,AG2,Auth IP,UnAuth IP,OM VCID,SIP VCID,HSI VCID
MIN,PGD_707_HYB_01,PGD_707_TDCAN_T910D_01_MIN1365,Eth-Trunk3||GE0/2/4(10G)|GE0/2/5(10G),610,"618
3707",537,400,3556,3557,10.175.0.45,-,10.199.224.0/21,10.202.80.0/23,25003480,"618: 25003483
3707: 25006305",25003484
MIN,PGD_707_GPONA_01,PGD_707_TDCAN_T910D_01_MIN1365,Eth-Trunk7||GE0/2/6(10G),732,2087,2086,400,-,-,10.175.0.45,-,10.98.56.0/21,10.101.62.0/23,25009349,25009350,25009351
