Region,Node Name,Uplink,Trunk,OM,SIP,HSI,IPOE,H248,RTP,AG1,AG2,Auth IP,UnAuth IP,OM VCID,SIP VCID,HSI VCID,HSI AGG,HSI Interface,BNG,BNG Port,HSI VSI,SIP IP,SIP AGG,SIP Interface,SIP VSI
VIS,ILO_135_GPONA_01,ILO-135-VIS2616-ATN910C-01,Eth-Trunk4||GE0/2/4(10G),3792,3781,128,400,-,-,10.175.77.9,10.168.56.204,10.116.188.0/22,10.119.47.0/24,25004180|26004180,25004181|26004181,25004182|26004182,"JMBASA-VIS927-AGGFMN-X16A-02
LAHUG-VIS148-AGGFMN-X16A-01","100GE3/0/0.128
100GE2/1/0.128","JMB_BNG-001
LHG_BNG-002","ET-5/3/0
ET-5/1/0","HSI-128
HSI-128",100.88.96.0/19,FORDBC-FMAGG-001-VIS817,VE1/0/0.3781,SIP-80003781
VIS,ILO_136_HYB_01,ILO-136-VIS2617-ATN910C-01,Eth-Trunk4||GE0/2/4(10G)|GE0/2/5(10G),2994,3786,3121,400,-,-,10.175.77.9,10.168.56.204,100.69.66.0/23,100.113.80.128/25,25004521|26004521,25004522|26004522,25004523|26004523,JMBASA-VIS927-AGGFMN-X16A-02,100GE3/0/0.3121,JMB_BNG-001,ET-5/3/0,HSI-3121,100.90.64.0/19,FORDBC-FMAGG-002-VIS817,VE1/0/0.3786,SIP-80003786
VIS,ILO_138_GPONA_01,ILO-138-VIS2580-ATN910C-01,Eth-Trunk5||GE0/2/4(10G),3797,3776,3121,400,-,-,10.175.77.9,10.168.56.204,10.117.4.0/22,10.119.65.0/24,25004806|26004806,25004807|26004807,25004808|26004808,JMBASA-VIS927-AGGFMN-X16A-02,100GE3/0/0.3121,JMB_BNG-001,ET-5/3/0,HSI-3121,100.88.192.0/19,FORDBC-FMAGG-002-VIS817,VE1/0/0.3776,SIP-80003776
VIS,ILO_141_GPONA_01,ILO-141-VIS2581-ATN910C-01,Eth-Trunk5||GE0/2/3(10G),1802,1777,3121,400,-,-,10.168.56.204,10.175.77.9,10.99.20.0/22,10.101.117.0/24,25009470|26009470,25009471|26009471,25009472|26009472,JMBASA-VIS927-AGGFMN-X16A-02,100GE3/0/0.3121,JMB_BNG-001,ET-5/3/0,HSI-3121,10.197.0.0/19,JMBASA-FMAGG-001-VIS927,VE1/0/0.1777,SIP-80001777
VIS,ILO_141_HYB_01,ILO-141-VIS2581-ATN910C-01,Eth-Trunk4||GE0/2/4(10G)|GE0/2/5(10G),2994,3786,3121,400,-,-,10.168.56.204,10.175.77.9,100.69.34.0/23,100.113.72.128/25,25004518|26004518,25004519|26004519,25004520|26004520,JMBASA-VIS927-AGGFMN-X16A-02,100GE3/0/0.3121,JMB_BNG-001,ET-5/3/0,HSI-3121,100.90.64.0/19,FORDBC-FMAGG-002-VIS817,VE1/0/0.3786,SIP-80003786
VIS,ILO_142_GPONA_01,ILO-142-VIS2620-ATN910C-01,Eth-Trunk5||GE0/2/4(10G),3768,"1746
3281",2993,400,-,-,10.168.56.204,10.175.77.9,10.54.160.0/22,10.73.168.0/24,25005666|26005666,"1746: 25009549|26009549
3281: 25005667|26005667",25005668|26005668,JMBASA-FMAGG-001-VIS927,100GE2/0/15.2993,ILO_JMB_CGN_002_IPOE,ET-1/0/2,HSI-2993,"10.197.128.0/19
100.127.160.0/19","JMBASA-FMAGG-002-VIS927
FORDBC-FMAGG-001-VIS817","VE1/0/0.1746
VE1/0/0.3281","SIP-80001746
SIP-80003281"
VIS,ILO_143_GPONA_01,ILO-143-VIS2582-ATN910C-01,Eth-Trunk5||GE0/2/6(10G),3768,3281,2993,400,-,-,10.168.56.204,10.175.77.9,10.53.48.0/22,10.73.76.0/24,25005663|26005663,25005664|26005664,25005665|26005665,JMBASA-FMAGG-001-VIS927,100GE2/0/15.2993,ILO_JMB_CGN_002_IPOE,ET-1/0/2,HSI-2993,100.127.160.0/19,FORDBC-FMAGG-001-VIS817,VE1/0/0.3281,SIP-80003281
VIS,ILO_143_HYB_01,ILO-143-VIS2582-ATN910C-01,Eth-Trunk4||GE0/2/4(10G)|GE0/2/5(10G),2990,"3273
3781",2993,400,-,-,10.168.56.204,10.175.77.9,100.69.40.0/23,100.113.74.0/25,25004156|26004156,"3273: 25004931|26004931
3781: 25004157|26004157",25004158|26004158,JMBASA-FMAGG-001-VIS927,100GE2/0/15.2993,ILO_JMB_CGN_002_IPOE,ET-1/0/2,HSI-2993,"100.89.32.0/19
100.88.96.0/19","JMBASA-FMAGG-001-VIS927
FORDBC-FMAGG-001-VIS817","VE1/0/0.3273
VE1/0/0.3781","SIP-80003273
SIP-80003781"
VIS,ILO_144_GPONA_01,ILO-144-VIS2621-ATN910C-01,Eth-Trunk4||GE0/2/1(10G),3792,3781,128,400,-,-,10.168.56.204,10.175.77.9,10.116.172.0/22,10.119.43.0/24,25004174|26004174,25004175|26004175,25004176|26004176,"JMBASA-VIS927-AGGFMN-X16A-02
LAHUG-VIS148-AGGFMN-X16A-01","100GE3/0/0.128
100GE2/1/0.128","JMB_BNG-001
LHG_BNG-002","ET-5/3/0
ET-5/1/0","HSI-128
HSI-128",100.88.96.0/19,FORDBC-FMAGG-001-VIS817,VE1/0/0.3781,SIP-80003781
VIS,ILO_145_GPONA_01,ILO-145-VIS2583-ATN910C-01,Eth-Trunk5||GE0/2/4(10G),3797,3776,3121,400,-,-,10.168.56.204,10.175.77.9,10.117.12.0/22,10.119.67.0/24,25004547|26004547,25004548|26004548,25004549|26004549,JMBASA-VIS927-AGGFMN-X16A-02,100GE3/0/0.3121,JMB_BNG-001,ET-5/3/0,HSI-3121,100.88.192.0/19,FORDBC-FMAGG-002-VIS817,VE1/0/0.3776,SIP-80003776
