AREA,AGG HOMING,PORT,BNG HOMING,BNG PORT,
NCR,VALERO-NCR733-AGGFN-X8-02,GigabitEthernet5/1/7,VAL_BNG-001,XE-11/1/1,
NCR,VALERO-NCR733-AGGFN-X8-02,GigabitEthernet5/1/8,VAL_BNG-001,XE-0/0/1,
NCR,VALERO-NCR733-AGGFN-X8-02,GigabitEthernet5/1/9,VAL_BNG-001,XE-7/0/1,
NLZ,NWTLVR-FMAGG-002-NL1910,100GE1/1/6,TLV_TLV_CGN_001_IPOE,ET-11/0/2,
NLZ,NWTLVR-FMAGG-001-NL1910,100GE1/1/6,TLV_TLV_CGN_001_IPOE,ET-1/0/2,
NLZ,NWTLVR-FMAGG-001-NL1910,100GE1/1/7,TLV_TLV_CGN_001_IPOE,ET-1/1/2,
NLZ,NWTLVR-FMAGG-002-NL1910,100GE1/1/7,TLV_TLV_CGN_001_IPOE,ET-11/1/2,
VIS,LAHUG-VIS148-AGGFMN-X16A-01,100GE4/0/0,LHG_BNG-002,ET-10/3/0,
NLZ,CBNTN1-FMAGG-002-NL1115,100GE3/0/21,CBN_CBN_CGN_004_IPOE,ET-11/1/2,
NLZ,CBNTN1-FMAGG-001-NL1115,100GE3/0/20,CBN_CBN_CGN_004_IPOE,ET-1/0/2,
NLZ,CBNTN1-FMAGG-002-NL1115,100GE3/0/20,CBN_CBN_CGN_004_IPOE,ET-1/1/2,
NLZ,CBNTN1-FMAGG-001-NL1115,100GE3/0/21,CBN_CBN_CGN_004_IPOE,ET-11/0/2,
NCR,THEODR-FMAGG-001-NCR4101,100GE2/0/25,QCY_TDR_CGN_002_IPOE,ET-1/0/2,
NCR,THEODR-FMAGG-001-NCR4101,100GE2/0/26,QCY_TDR_CGN_002_IPOE,ET-1/1/2,
NCR,THEODR-FMAGG-002-NCR4101,100GE2/0/25,QCY_TDR_CGN_002_IPOE,ET-11/0/2,
NCR,THEODR-FMAGG-002-NCR4101,100GE2/0/26,QCY_TDR_CGN_002_IPOE,ET-11/1/2,
VIS,FORDBC-FMAGG-001-VIS817,100GE3/0/8,BCD_BAC_CGN_001_IPOE,ET-1/0/2,
VIS,FORDBC-FMAGG-001-VIS817,100GE3/0/10,BCD_BAC_CGN_001_IPOE,ET-11/0/2,
VIS,FORDBC-FMAGG-002-VIS817,100GE3/0/8,BCD_BAC_CGN_001_IPOE,ET-11/1/2,
VIS,FORDBC-FMAGG-002-VIS817,100GE3/0/10,BCD_BAC_CGN_001_IPOE,ET-1/1/2,
VIS,FORDBC-FMAGG-001-VIS817,100GE3/0/22,BCD_BAC_CGN_002_IPOE,ET-1/0/2,
